Lfd. Nr.,Bezeichnung,Tiegeleinwage [mg],Schmelzenthalpie [J/g],"ω PE (191,35 J/g) [ ]",Masse PE im Tiegel [mg],Mittelwert [mg],Stabw.s [mg],Partikle pro Tiegel [ ],Mittelwert über alle Proben mit der selben MP-Konz. [mg],stabw.s
32.0,,1.17,6.867,0.03588711784687745,0.04198792788084662,0.06955367999303196,0.030144261866517162,23.326626600470345,22.813340882036986,20.597397928234702
33.0,,0.99,12.55,0.06558662137444474,0.0649307551607003,0.06955367999303196,0.030144261866517162,36.07264175594461,22.813340882036986,20.597397928234702
34.0,DS Elbe-PE-20ppm-2,1.01,4.391,0.02294747844264437,0.023176953227070814,0.012574347182301193,0.00963264721193535,12.876085126150452,22.813340882036986,20.597397928234702
35.0,,0.87,2.24,0.011706297360857069,0.01018447870394565,0.012574347182301193,0.00963264721193535,5.6580437244142505,22.813340882036986,20.597397928234702
36.0,,1.14,0.7321,0.0038259733472694015,0.004361609615887117,0.012574347182301193,0.00963264721193535,2.423116453270621,22.813340882036986,20.597397928234702
37.0,DS Weis-PE-100ppm-1,1.12,10.05,0.05252155735563105,0.05882414423830678,0.062459872833376895,0.017479830968237353,32.68008013239265,52.80588702106863,25.588881028468947
38.0,,1.04,14.99,0.0783381238568069,0.08147164881107918,0.062459872833376895,0.017479830968237353,45.262027117266214,52.80588702106863,25.588881028468947
39.0,,1.13,7.973,0.04166710216880063,0.04708382545074471,0.062459872833376895,0.017479830968237353,26.15768080596928,52.80588702106863,25.588881028468947
40.0,DS Weis-PE-100ppm-2,1.06,14.6,0.07629997386987196,0.08087797230206428,0.12764132044247017,0.04256519019752097,44.932206834480155,52.80588702106863,25.588881028468947
41.0,,1.05,29.91,0.15631042592108702,0.16412594721714138,0.12764132044247017,0.04256519019752097,91.18108178730077,52.80588702106863,25.588881028468947
42.0,,0.95,27.78,0.14517899137705775,0.13792004180820486,0.12764132044247017,0.04256519019752097,76.6222454490027,52.80588702106863,25.588881028468947
43.0,DS Weis-PE-60ppm-1,1.07,3.616,0.018897308596812126,0.020220120198588976,0.038535249542722756,0.023534796819787783,11.23340011032721,31.3315042243707,14.163846056602337
44.0,,1.04,5.576,0.02914031878756206,0.03030593153906454,0.038535249542722756,0.023534796819787783,16.836628632813635,31.3315042243707,14.163846056602337
45.0,,1.05,11.86,0.061980663705252154,0.06507969689051477,0.038535249542722756,0.023534796819787783,36.155387161397094,31.3315042243707,14.163846056602337
46.0,DS Weis-PE-60ppm-2,1.17,10.32,0.05393258426966292,0.06310112359550561,0.07425816566501175,0.010676891910747574,35.056179775280896,31.3315042243707,14.163846056602337
47.0,,1.13,12.75,0.06663182649594983,0.0752939639404233,0.07425816566501175,0.010676891910747574,41.82997996690183,31.3315042243707,14.163846056602337
48.0,,1.15,14.04,0.0733733995296577,0.08437940945910635,0.07425816566501175,0.010676891910747574,46.87744969950353,31.3315042243707,14.163846056602337
49.0,DS Weis-PE-20ppm-1,0.98,8.694,0.045435066631826504,0.04452636529918997,0.04407901750718579,0.016846785956432752,24.736869610661095,28.02300902941091,8.024354444695254
50.0,,0.89,13.05,0.06819963417820749,0.060697674418604665,0.04407901750718579,0.016846785956432752,33.720930232558146,28.02300902941091,8.024354444695254
51.0,,0.93,5.558,0.0290462503266266,0.02701301280376274,0.04407901750718579,0.016846785956432752,15.007229335423744,28.02300902941091,8.024354444695254
52.0,DS Weis-PE-20ppm-2,1.2,8.494,0.0443898615103214,0.05326783381238568,0.05680381499869349,0.010784553305373534,29.593241006880934,28.02300902941091,8.024354444695254
53.0,,1.09,8.467,0.04424875881891822,0.04823114711262086,0.05680381499869349,0.010784553305373534,26.79508172923381,28.02300902941091,8.024354444695254
54.0,,1.06,12.44,0.06501175855761693,0.06891246407107395,0.05680381499869349,0.010784553305373534,38.28470226170775,28.02300902941091,8.024354444695254
